machine_id,shift,runtime,temperature,vibration,pressure,load,maintenance,time_to_failure
M001,day,3.45955,54.33998,5.07542,0.17617,73.89748,0,998.60298
M001,night,8.04761,47.68018,4.92997,0.16041,71.06765,0,1000.66867
M001,day,31.5539,52.91999,5.07877,0.30017,75.88843,0,951.00944
M001,day,41.69259,46.38599,5.05513,0.23132,67.52905,0,956.92959
M001,day,44.41787,47.43939,5.04585,0.27208,62.13374,0,962.94062
M001,day,44.57095,47.96888,5.1096,0.19725,65.79473,0,939.29484
M001,night,51.38386,49.88862,5.12382,0.18831,72.48054,0,953.69868
M001,day,56.26949,52.76399,5.2103,0.32831,76.32607,0,948.77513
M001,day,65.31183,47.4124,5.12718,0.28668,63.55208,0,932.80492
M001,day,86.67736,47.97983,5.29379,0.44365,68.16392,0,909.51088
M001,day,90.0796,48.68322,5.26785,0.46915,66.11505,0,917.8033
M001,night,102.92177,51.90741,5.45691,0.54111,84.93966,0,864.30078
M001,night,104.86179,53.37226,5.51453,0.58866,77.66883,0,882.43654
M001,night,131.58311,50.4081,5.66899,0.74402,69.38898,0,853.44422
M001,day,137.50856,49.49222,5.67859,0.62081,62.06699,0,869.69175
M001,night,164.35973,48.39784,5.94383,0.82283,66.81288,1,885.22555
M001,day,167.30927,52.90466,6.08052,0.95968,68.05805,0,799.73907
M001,day,196.57494,56.67407,6.4768,1.18285,75.33388,0,759.40742
M001,night,213.50179,50.79431,6.55088,1.25226,73.43792,0,746.26209
M001,day,268.19067,57.28038,7.56299,1.72178,73.95064,0,643.77851
M001,day,274.18304,56.32559,7.66329,1.68742,70.19397,0,671.31333
M001,day,274.18571,53.97075,7.63569,1.78674,69.94744,0,656.28073
M001,day,305.51103,52.68398,8.17138,1.92496,63.09545,0,607.62153
M001,night,312.07268,53.94236,8.30243,2.02433,69.37466,1,714.74186
M001,day,314.20329,57.4985,8.40601,2.05372,74.32687,0,575.94892
M001,night,324.74148,50.85643,8.48401,2.1243,67.59379,0,574.41359
M001,night,330.175,50.0624,8.62413,2.2014,69.44828,0,563.06362
M001,day,341.98342,59.15259,9.03805,2.32101,76.40805,0,534.12645
M001,night,347.58653,53.08452,9.03968,2.45243,76.04309,0,541.36026
M001,night,354.46608,50.26589,9.13711,2.36007,65.60122,0,547.11223
M001,night,369.47561,55.53632,9.59463,2.56657,79.00177,0,508.32114
M001,day,376.57646,53.13356,9.70179,2.60128,66.23003,0,496.07509
M001,night,383.17651,53.76284,9.84389,2.72884,68.69415,0,489.26286
M001,night,391.43885,58.11428,10.14725,2.8055,76.83347,1,566.88777
M001,day,397.39294,55.83537,10.2367,2.97757,72.78963,0,459.69615
M001,day,401.96772,53.71013,10.3239,2.91347,68.34925,0,458.87791
M001,night,430.05191,51.93159,11.00568,3.23703,68.65367,0,417.98515
M001,day,431.72282,55.65297,11.15332,3.22912,67.05188,1,500.4243
M001,night,434.33933,55.0324,11.18846,3.25306,70.66316,0,423.79749
M001,day,435.07876,59.47104,11.29967,3.28474,72.59707,0,397.47946
M001,night,438.67667,57.57803,11.35308,3.3924,84.85842,0,377.21715
M001,day,442.73468,57.19213,11.48661,3.40495,74.18131,0,376.24166
M001,day,446.96655,54.15453,11.55759,3.31301,67.79476,0,397.7058
M001,day,452.65904,54.20417,11.66425,3.44375,68.03847,1,489.84791
M001,night,454.52528,53.66698,11.73723,3.49375,75.09265,0,382.51172
M001,night,459.18614,56.42465,11.9268,3.51543,75.81283,0,362.67669
M001,day,460.83002,59.94266,12.02314,3.55468,76.34898,0,322.57369
